Country Name,Percentage,Year
"Iran, Islamic Rep.",100,2018
Iraq,99.9,2018
Ireland,100,2018
Isle of Man,100,2018
Israel,100,2018
Italy,100,2018
Jamaica,98.93328094,2018
Japan,100,2018
Jordan,99.9,2018
Kazakhstan,100,2018
Kenya,75,2018
Kiribati,100,2018
"Korea, Dem. People’s Rep.",48.49082565,2018
"Korea, Rep.",100,2018
Kosovo,100,2018
Kuwait,100,2018
Kyrgyz Republic,100,2018
Lao PDR,97.91982269,2018
Latvia,100,2018
Lebanon,100,2018
Lesotho,47,2018
Liberia,25.9182663,2018
Libya,67,2018
Liechtenstein,100,2018
Lithuania,100,2018
Luxembourg,100,2018
"Macao SAR, China",100,2018
Madagascar,25.90781212,2018
Malawi,18.02,2018
Malaysia,100,2018
Maldives,100,2018
Mali,50.9,2018
Malta,100,2018
Marshall Islands,96.35547638,2018
Mauritania,44.52691269,2018
Mauritius,97.46600342,2018
Mexico,100,2018
"Micronesia, Fed. Sts.",82.09972382,2018
Moldova,100,2018
Monaco,100,2018
Mongolia,98.1,2018
Montenegro,100,2018
Morocco,100,2018
Mozambique,31.1,2018
Myanmar,66.26457214,2018
Namibia,53.87387466,2018
Nauru,99.838974,2018
Nepal,93.92,2018
Netherlands,100,2018
New Caledonia,100,2018
New Zealand,100,2018
Nicaragua,88.07795715,2018
Niger,17.6,2018
Nigeria,56.5,2018
North Macedonia,100,2018
Northern Mariana Islands,100,2018
Norway,100,2018
Oman,100,2018
Pakistan,71.0915467,2018
Palau,100,2018
Panama,100,2018
Papua New Guinea,58.96735764,2018
Paraguay,100,2018
Peru,95.2,2018
Philippines,94.85723114,2018
Poland,100,2018
Portugal,100,2018
Puerto Rico,100,2018
Qatar,100,2018
Romania,100,2018
Russian Federation,100,2018
Rwanda,34.71657181,2018
Samoa,100,2018
San Marino,100,2018
Sao Tome and Principe,71,2018
Saudi Arabia,100,2018
Senegal,66.95944977,2018
Serbia,100,2018
Seychelles,100,2018
Sierra Leone,26.1,2018
Singapore,100,2018
Sint Maarten (Dutch part),100,2018
Slovak Republic,100,2018
Slovenia,100,2018
Solomon Islands,66.66609955,2018
Somalia,35.25553513,2018
South Africa,91.22987366,2018
South Sudan,28.20185661,2018
Spain,100,2018
Sri Lanka,99.58340454,2018
St. Kitts and Nevis,100,2018
St. Lucia,99.53749847,2018
St. Martin (French part),100,2018
St. Vincent and the Grenadines,100,2018
Sudan,59.783535,2018
Suriname,97.4,2018
Sweden,100,2018
Switzerland,100,2018
Syrian Arab Republic,86,2018
Tajikistan,99.3,2018
Tanzania,35.55897903,2018
Thailand,100,2018
Timor-Leste,85.59183502,2018
Togo,51.34528351,2018
Tonga,98.89260101,2018
Trinidad and Tobago,100,2018
Tunisia,99.8,2018
Turkey,100,2018
Turkmenistan,100,2018
Turks and Caicos Islands,100,2018
Tuvalu,100,2018
Uganda,42.65,2018
Ukraine,100,2018
United Arab Emirates,100,2018
United Kingdom,100,2018
United States,100,2018
Uruguay,100,2018
Uzbekistan,100,2018
Vanuatu,61.86476898,2018
"Venezuela, RB",100,2018
Vietnam,100,2018
Virgin Islands (U.S.),100,2018
West Bank and Gaza,100,2018
"Yemen, Rep.",62,2018
Zambia,39.81262207,2018
Zimbabwe,41.04158401,2018
